Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/load_test,10286,0,2,3.5017499513902393,0,48,18.0,171.14904547654783,0.0,2,3,4,5,8,12,19,24,46,48,48
,Aggregated,10286,0,2,3.5017499513902393,0,48,18.0,171.14904547654783,0.0,2,3,4,5,8,12,19,24,46,48,48
