Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/test,1865,0,4,5.221983914209115,0,118,16.0,32.59454030008183,0.0,4,5,6,7,9,10,15,19,120,120,120
,Aggregated,1865,0,4,5.221983914209115,0,118,16.0,32.59454030008183,0.0,4,5,6,7,9,10,15,19,120,120,120
